gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays,type
Male,38.0,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,42.0,Single,No Qualification,British,White,"Under 2,600",The North,Yes,12.0,12.0,Packets
Male,40.0,Married,Degree,English,White,"28,600 to 36,400",The North,No,,,
Female,,Married,Degree,English,White,"10,400 to 15,600",The North,No,,,
Female,39.0,Married,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,,,
Female,37.0,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
Male,53.0,Married,Degree,British,White,"Above 36,400",The North,Yes,6.0,6.0,Packets
Male,,Single,Degree,English,White,"10,400 to 15,600",The North,No,,,
Male,40.0,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,8.0,8.0,Hand-Rolled
Female,41.0,Married,No Qualification,English,White,"5,200 to 10,400",The North,Yes,15.0,12.0,Packets
Male,72.0,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Male,49.0,Married,No Qualification,British,White,Refused,The North,No,,,
Male,29.0,Married,Degree,English,White,"Above 36,400",The North,No,,,
Female,,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Male,25.0,Single,Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,27.0,Single,Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,30.0,Single,Degree,English,White,"20,800 to 28,600",The North,No,,,
Male,47.0,Divorced,No Qualification,British,White,"10,400 to 15,600",The North,No,,,
Female,69.0,Single,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
Male,55.0,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,,,
Female,34.0,Married,GCSE/CSE,British,White,"2,600 to 5,200",The North,Yes,6.0,12.0,Packets
Female,36.0,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,5.0,2.0,Packets
Female,,Married,No Qualification,English,White,"2,600 to 5,200",The North,Yes,20.0,20.0,Packets
Male,71.0,Divorced,No Qualification,English,White,Unknown,The North,No,,,
